[00:00:00.005] (7fad9f3f0700) INFO   sequence: 5554224333234511764415115                          score: 4          nodes:2561       time: 4431µs
[00:00:00.007] (7fad9f3f0700) INFO   sequence: 52753311433677442422121                            score: 8          nodes:196        time: 364µs
[00:00:00.015] (7fad9f3f0700) INFO   sequence: 1233722555341451114725221333                       score: -1         nodes:6294       time: 5790µs
[00:00:00.017] (7fad9f3f0700) INFO   sequence: 271713432331713132                                 score: -11        nodes:13         time: 209µs
[00:00:00.021] (7fad9f3f0700) INFO   sequence: 6672375354252731116762237724                       score: -2         nodes:1795       time: 1636µs
[00:00:00.023] (7fad9f3f0700) INFO   sequence: 763452543756455357732314                           score: -8         nodes:13         time: 255µs
[00:00:00.024] (7fad9f3f0700) INFO   sequence: 662222576343651642712157                           score: 8          nodes:8          time: 197µs
[00:00:00.025] (7fad9f3f0700) INFO   sequence: 3455565261655364217                                score: -10        nodes:14         time: 228µs
[00:00:00.028] (7fad9f3f0700) INFO   sequence: 4661237137541742643224                             score: 8          nodes:2030       time: 1781µs
[00:00:00.031] (7fad9f3f0700) INFO   sequence: 21253774536432517717274325                         score: 2          nodes:1929       time: 2154µs
[00:00:00.049] (7fad9f3f0700) INFO   sequence: 715371563635542612576371                           score: 3          nodes:21556      time: 16873µs
[00:00:00.051] (7fad9f3f0700) INFO   sequence: 4435612735531457155143                             score: -5         nodes:1803       time: 1674µs
[00:00:00.052] (7fad9f3f0700) INFO   sequence: 3457741246677474572223453551                       score: 5          nodes:17         time: 212µs
[00:00:00.053] (7fad9f3f0700) INFO   sequence: 754732466173162124726115261                        score: 7          nodes:10         time: 205µs
[00:00:00.054] (7fad9f3f0700) INFO   sequence: 64115442265757253615                               score: 10         nodes:10         time: 198µs
[00:00:00.056] (7fad9f3f0700) INFO   sequence: 34651743747475571565                               score: -9         nodes:87         time: 273µs
[00:00:00.057] (7fad9f3f0700) INFO   sequence: 36127316172165452675422251                         score: 7          nodes:8          time: 202µs
[00:00:00.058] (7fad9f3f0700) INFO   sequence: 4235245615377275211512                             score: -7         nodes:108        time: 281µs
