[00:00:00.073] (70000f031000) INFO   position: 225257625346224411156336534367135144167, score: 1
[00:00:00.074] (70000f031000) INFO   position: 22525762534622441115633653436713514416, score: -1
[00:00:00.074] (70000f031000) INFO   sequence: 2252576253462244111563365343671351441              score: -1         nodes:4          time: 977µs
[00:00:00.074] (70000f031000) INFO   position: 74223417356477411661335734732425662261, score: 1
[00:00:00.074] (70000f031000) INFO   position: 7422341735647741166133573473242566226, score: -1
[00:00:00.075] (70000f031000) INFO   position: 742234173564774116613357347324256622, score: 1
[00:00:00.075] (70000f031000) INFO   position: 74223417356477411661335734732425662, score: -1
[00:00:00.075] (70000f031000) INFO   position: 742234173564774116613357347324256622, score: -2
[00:00:00.075] (70000f031000) INFO   position: 74223417356477411661335734732425662, score: 2
[00:00:00.075] (70000f031000) INFO   position: 742234173564774116613357347324256662, score: -2
[00:00:00.075] (70000f031000) INFO   position: 74223417356477411661335734732425666, score: 2
[00:00:00.075] (70000f031000) INFO   position: 742234173564774116613357347324256615, score: -2
[00:00:00.075] (70000f031000) INFO   position: 74223417356477411661335734732425661, score: 2
[00:00:00.076] (70000f031000) INFO   position: 74223417356477411661335734732425662261, score: -1
[00:00:00.076] (70000f031000) INFO   position: 7422341735647741166133573473242566226, score: 1
[00:00:00.076] (70000f031000) INFO   position: 742234173564774116613357347324256622, score: -1
[00:00:00.076] (70000f031000) INFO   position: 74223417356477411661335734732425662, score: 1
[00:00:00.076] (70000f031000) INFO   position: 74223417356477411661335734732425666221, score: -1
[00:00:00.076] (70000f031000) INFO   position: 7422341735647741166133573473242566622, score: 1
[00:00:00.076] (70000f031000) INFO   position: 742234173564774116613357347324256662, score: -1
[00:00:00.076] (70000f031000) INFO   position: 74223417356477411661335734732425666, score: 1
[00:00:00.076] (70000f031000) INFO   position: 74223417356477411661335734732425661556, score: -1
[00:00:00.077] (70000f031000) INFO   position: 7422341735647741166133573473242566155, score: 1
[00:00:00.077] (70000f031000) INFO   position: 742234173564774116613357347324256615, score: -1
[00:00:00.077] (70000f031000) INFO   position: 74223417356477411661335734732425661, score: 1
[00:00:00.077] (70000f031000) INFO   position: 742234173564774116613357347324256622611, score: 1
[00:00:00.077] (70000f031000) INFO   position: 74223417356477411661335734732425662261, score: -1
[00:00:00.077] (70000f031000) INFO   position: 7422341735647741166133573473242566226, score: 1
[00:00:00.077] (70000f031000) INFO   position: 742234173564774116613357347324256622, score: -1
[00:00:00.077] (70000f031000) INFO   position: 74223417356477411661335734732425662, score: 1
[00:00:00.078] (70000f031000) INFO   sequence: 7422341735647741166133573473242566                 score: 1          nodes:35         time: 3259µs
[00:00:00.078] (70000f031000) INFO   position: 2316341612476722315446747127241675563335, score: 0
[00:00:00.078] (70000f031000) INFO   position: 231634161247672231544674712724167556333, score: 0
[00:00:00.078] (70000f031000) INFO   position: 2316341612476722315446747127241675563335, score: 0
[00:00:00.078] (70000f031000) INFO   position: 231634161247672231544674712724167556333, score: 0
[00:00:00.078] (70000f031000) INFO   sequence: 23163416124767223154467471272416755633             score: 0          nodes:42         time: 485µs
[00:00:00.079] (70000f031000) INFO   sequence: 71255763773133525731261364622167124446454          score: 0          nodes:43         time: 12µs
[00:00:00.079] (70000f031000) INFO   position: 652146735561557315663163273732214174227, score: 1
[00:00:00.079] (70000f031000) INFO   position: 65214673556155731566316327373221417422, score: -1
[00:00:00.079] (70000f031000) INFO   position: 652146735561557315663163273732214174272, score: 1
[00:00:00.079] (70000f031000) INFO   position: 65214673556155731566316327373221417427, score: -1
[00:00:00.079] (70000f031000) INFO   position: 6521467355615573156631632737322141742, score: 1
[00:00:00.080] (70000f031000) INFO   position: 652146735561557315663163273732214174, score: -1
[00:00:00.080] (70000f031000) INFO   position: 6521467355615573156631632737322141724, score: 2
[00:00:00.080] (70000f031000) INFO   position: 652146735561557315663163273732214172, score: -2
[00:00:00.080] (70000f031000) INFO   position: 6521467355615573156631632737322141774, score: 2
[00:00:00.080] (70000f031000) INFO   position: 652146735561557315663163273732214177, score: -2
[00:00:00.080] (70000f031000) INFO   position: 6521467355615573156631632737322141742, score: 1
[00:00:00.080] (70000f031000) INFO   position: 652146735561557315663163273732214174, score: -1
[00:00:00.080] (70000f031000) INFO   sequence: 65214673556155731566316327373221417                score: -1         nodes:57         time: 1468µs
[00:00:00.081] (70000f031000) INFO   position: 52677675164321472411331752454433325, score: 2
[00:00:00.081] (70000f031000) INFO   position: 5267767516432147241133175245443332, score: -2
[00:00:00.081] (70000f031000) INFO   position: 526776751643214724113317524544333, score: 2
[00:00:00.081] (70000f031000) INFO   position: 52677675164321472411331752454433, score: -2
[00:00:00.081] (70000f031000) INFO   position: 5267767516432147241133175245443, score: 2
[00:00:00.081] (70000f031000) INFO   position: 526776751643214724113317524544, score: -2
[00:00:00.081] (70000f031000) INFO   position: 52677675164321472411331752454433325, score: -3
[00:00:00.081] (70000f031000) INFO   position: 5267767516432147241133175245443332, score: 3
[00:00:00.082] (70000f031000) INFO   position: 52677675164321472411331752454433366, score: -3
[00:00:00.082] (70000f031000) INFO   position: 5267767516432147241133175245443336, score: 3
[00:00:00.082] (70000f031000) INFO   position: 52677675164321472411331752454433315, score: -3
[00:00:00.082] (70000f031000) INFO   position: 5267767516432147241133175245443331, score: 3
[00:00:00.082] (70000f031000) INFO   position: 52677675164321472411331752454433375, score: -3
[00:00:00.082] (70000f031000) INFO   position: 5267767516432147241133175245443337, score: 3
[00:00:00.082] (70000f031000) INFO   position: 526776751643214724113317524544333, score: -3
[00:00:00.082] (70000f031000) INFO   position: 52677675164321472411331752454433, score: 3
[00:00:00.083] (70000f031000) INFO   position: 52677675164321472411331752454432323, score: -3
[00:00:00.083] (70000f031000) INFO   position: 5267767516432147241133175245443232, score: 3
[00:00:00.083] (70000f031000) INFO   position: 526776751643214724113317524544323, score: -3
[00:00:00.083] (70000f031000) INFO   position: 52677675164321472411331752454432, score: 3
[00:00:00.083] (70000f031000) INFO   position: 52677675164321472411331752454436633, score: -3
[00:00:00.083] (70000f031000) INFO   position: 5267767516432147241133175245443663, score: 3
[00:00:00.083] (70000f031000) INFO   position: 52677675164321472411331752454436623, score: 3
[00:00:00.083] (70000f031000) INFO   position: 5267767516432147241133175245443662, score: -3
[00:00:00.084] (70000f031000) INFO   position: 52677675164321472411331752454436663, score: 3
[00:00:00.084] (70000f031000) INFO   position: 5267767516432147241133175245443666, score: -3
[00:00:00.084] (70000f031000) INFO   position: 52677675164321472411331752454436613, score: 3
[00:00:00.084] (70000f031000) INFO   position: 5267767516432147241133175245443661, score: -3
[00:00:00.084] (70000f031000) INFO   position: 52677675164321472411331752454436673, score: 3
[00:00:00.084] (70000f031000) INFO   position: 5267767516432147241133175245443667, score: -3
[00:00:00.084] (70000f031000) INFO   position: 526776751643214724113317524544366, score: -3
[00:00:00.084] (70000f031000) INFO   position: 52677675164321472411331752454436, score: 3
[00:00:00.084] (70000f031000) INFO   position: 526776751643214724113317524544313, score: 4
[00:00:00.085] (70000f031000) INFO   position: 52677675164321472411331752454431, score: -4
[00:00:00.085] (70000f031000) INFO   position: 526776751643214724113317524544373, score: 4
[00:00:00.085] (70000f031000) INFO   position: 52677675164321472411331752454437, score: -4
[00:00:00.085] (70000f031000) INFO   position: 5267767516432147241133175245443, score: -3
[00:00:00.085] (70000f031000) INFO   position: 526776751643214724113317524544, score: 3
[00:00:00.086] (70000f031000) INFO   position: 52677675164321472411331752454323345, score: -3
[00:00:00.086] (70000f031000) INFO   position: 5267767516432147241133175245432334, score: 3
[00:00:00.086] (70000f031000) INFO   position: 52677675164321472411331752454323354, score: -3
[00:00:00.086] (70000f031000) INFO   position: 5267767516432147241133175245432335, score: 3
[00:00:00.086] (70000f031000) INFO   position: 52677675164321472411331752454323324, score: -3
[00:00:00.086] (70000f031000) INFO   position: 5267767516432147241133175245432332, score: 3
[00:00:00.086] (70000f031000) INFO   position: 52677675164321472411331752454323366, score: -3
[00:00:00.086] (70000f031000) INFO   position: 5267767516432147241133175245432336, score: 3
[00:00:00.086] (70000f031000) INFO   position: 52677675164321472411331752454323314, score: -3
[00:00:00.086] (70000f031000) INFO   position: 5267767516432147241133175245432331, score: 3
[00:00:00.087] (70000f031000) INFO   position: 52677675164321472411331752454323374, score: -3
[00:00:00.087] (70000f031000) INFO   position: 5267767516432147241133175245432337, score: 3
[00:00:00.087] (70000f031000) INFO   position: 526776751643214724113317524543233, score: -3
[00:00:00.087] (70000f031000) INFO   position: 52677675164321472411331752454323, score: 3
[00:00:00.087] (70000f031000) INFO   position: 5267767516432147241133175245432, score: -3
[00:00:00.087] (70000f031000) INFO   position: 526776751643214724113317524543, score: 3
[00:00:00.087] (70000f031000) INFO   position: 52677675164321472411331752454543233, score: -3
[00:00:00.087] (70000f031000) INFO   position: 5267767516432147241133175245454323, score: 3
[00:00:00.087] (70000f031000) INFO   position: 526776751643214724113317524545432, score: -3
[00:00:00.088] (70000f031000) INFO   position: 52677675164321472411331752454543, score: 3
[00:00:00.088] (70000f031000) INFO   position: 52677675164321472411331752454545333, score: -3
[00:00:00.088] (70000f031000) INFO   position: 5267767516432147241133175245454533, score: 3
[00:00:00.088] (70000f031000) INFO   position: 52677675164321472411331752454545323, score: -3
[00:00:00.088] (70000f031000) INFO   position: 5267767516432147241133175245454532, score: 3
[00:00:00.088] (70000f031000) INFO   position: 52677675164321472411331752454545366, score: -3
[00:00:00.088] (70000f031000) INFO   position: 5267767516432147241133175245454536, score: 3
[00:00:00.088] (70000f031000) INFO   position: 52677675164321472411331752454545313, score: 3
[00:00:00.088] (70000f031000) INFO   position: 5267767516432147241133175245454531, score: -3
[00:00:00.088] (70000f031000) INFO   position: 52677675164321472411331752454545373, score: 3
